chipset,form_factor,m2_interfaces,manufacturer,memory_max_gb,memory_ram_type,memory_slots,name,sata_ports,socket
Intel Z690,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,Asus Z690 PRIME Z690-P DDR5 ATX,4,LGA 1700
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR4,4,MSI B760M MAG MORTAR MAX WIFI DDR4 Micro ATX,6,LGA 1700
AMD B650,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,ASUS PRIME B650M-A AX6 II,0,AM5
Intel Z590,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",NZXT,128,DDR4,4,NZXT Z590 N7 LGA1200 DDR4 ATX,0,LGA 1200
AMD A620,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR5,2,Asus A620 PRIME A620AM-K-CSM AM5 DDR5 Micro ATX,0,AM5
Intel Z590,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR4,4,MSI Z590 MPG GAMING FORCE DDR4 ATX,6,LGA 1200
AMD B840,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,128,DDR5,2,Gigabyte B840M D2H AM5 DDR5 Micro ATX,4,AM5
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,128,DDR5,2,Gigabyte B760M GAMING WIFI DDR5 Micro ATX,4,LGA 1700
Intel Z490,Micro ATX,"PCIE 3.0 x4, SATA & PCIE 3.0 x4",ASUS,128,DDR4,4,ASUS ROG STRIX Z490-G GAMING (WiFi 6),6,LGA 1200
AMD B850,ATX,"PCIe 5.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Sapphire,256,DDR5,4,Sapphire NITRO+ B850A WIFI 7,4,AM5
AMD B650,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,192,DDR5,4,Gigabyte B650 AORUS ELITE AX DDR5 ATX,0,AM5
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,96,DDR5,2,ASUS PRIME B760M-F WIFI-CSM,4,LGA 1700
AMD A320,Micro ATX,NVMe PCIe 3.0 x4 & SATA Mode,Gigabyte,32,DDR4,2,Gigabyte GA-A320M-S2H Micro ATX AM4,4,AM4
Intel Z690,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,128,DDR5,4,Gigabyte Z690 AORUS ELITE AX (rev. 1.4) DDR5 ATX,6,LGA 1700
AMD B650,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",Biostar,96,DDR5,2,Biostar B650 MT AM5 DDR5 Micro ATX,4,AM5
Intel B460,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,128,DDR4,4,ASRock B460 M Pro4 LGA1200 DDR4 Micro ATX,6,LGA 1200
AMD B850,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,256,DDR5,4,Gigabyte B850 GAMING X WIFI6E AM5 DDR5 ATX,0,AM5
Intel Z790,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,192,DDR5,4,ASRock Z790 Nova WiFi DDR5 ATX,0,LGA 1700
Intel Z890,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,Asus ROG STRIX Z890-E GAMING WIFI DDR5 ATX,0,LGA 1851
Intel Z790,EATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",EVGA,128,DDR5,4,EVGA Z790 CLASSIFIED LGA1700 DDR5 EATX,8,LGA 1700
AMD X870,ATX,"PCIe 5.0 x4, PCIe 5.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,ROG STRIX X870-F GAMING WIFI,2,AM5
Intel Z690,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR4,4,Asus PRIME Z690-P WIFI D4 DDR4 ATX,0,LGA 1700
Intel B860,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,128,DDR5,2,Gigabyte B860M H LGA1851 DDR5 Micro ATX,4,LGA 1851
AMD B850,Micro ATX,"PCIe 5.0 x4, PCIe 4.0 x4",ASUS,128,DDR5,2,ASUS B850M-E AYW GAMING WIFI-CSM,4,AM5
AMD A320,Micro ATX,,Biostar,32,DDR4,2,Biostar A320 MH DDR4 Micro ATX,0,AM4
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,192,DDR5,4,Gigabyte B760M AORUS ELITE LGA1700 DDR5 Micro ATX,4,LGA 1700
Intel B660,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR4,4,MSI B660M MAG BAZOOKA DDR4 Micro ATX,4,LGA 1700
Intel Z590,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR4,4,Asus Z590 PRIME V DDR4 ATX,4,LGA 1200
Intel Z890,EATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,256,DDR5,4,Gigabyte Z890 AORUS MASTER AI TOP DDR5 EATX,4,LGA 1851
Intel Z790,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,192,DDR5,4,MSI Z790 GAMING WIFI DDR5 ATX,4,LGA 1700
AMD B850,ATX,"PCIe 5.0 x4, PCIe 4.0 x4, PCIe 4.0 x2",ASUS,256,DDR5,4,ASUS B850 MAX GAMING WIFI-CSM,4,AM5
AMD X570,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR4,4,Asus X570 TUF GAMING X570-PLUS DDR4 ATX,0,AM4
Intel Z590,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR4,4,MSI Z590 PRO WIFI LGA1200 DDR4 ATX,0,LGA 1200
Intel Z790,Mini-ITX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,96,DDR5,2,Asus Z790-I ROG STRIX GAMING WIFI LGA1700 DDR5 Mini ITX,0,LGA 1700
AMD B550,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR4,4,MSI MEG B550 UNIFY,6,AM4
