cache_l2,cache_l3,category,clock_base,clock_boost,clock_efficiency_base,clock_efficiency_boost,cores_efficiency,cores_performance,cores_total,integrated_graphics,manufacturer,memory_channels,memory_max_gb,memory_types,microarchitecture,name,opendb_id,part_id,release_year,series,socket,tdp,threads,variant
4,0,cpu,3.6,4,,,,4,4,AMD Radeon R7 (on-die),AMD,,,,Steamroller,AMD A 10 7860k 3.6 GHz 4-Core FM2+ OEM/Tray,1108a9a6-5414-44d0-a9ca-add54f8a80fa,cpu_0066,,AMD A10,FM2+,65,4,
2,20,cpu,2,2.8,,,,8,8,None,Intel,,,,Sandy Bridge,Intel Xeon E5 2650 2 GHz 8-Core LGA2011,114ffebf-9ed4-49a5-82e4-f6f6b0f2649b,cpu_0067,,Intel Xeon E5,LGA 2011,95,16,
6,8,cpu,3.5,4.1,,,,6,6,None,AMD,,,,Bulldozer,AMD FX FX-6120 3.5 GHz 6-Core AM3+ OEM/Tray,1151b654-7094-41ab-8988-1d37db091a4b,cpu_0068,,AMD FX,AM3+,95,6,
6,32,cpu,3.7,5,,,,6,6,None,AMD,,,DDR5,Zen 4,AMD Ryzen 5 7500F 3.7 GHz 6-Core AM5 OEM/Tray,115d2821-5d45-41b8-b4c9-aa3f95215fab,cpu_0069,,AMD Ryzen 5,AM5,65,12,
5,12,cpu,3.3,4.3,,,,4,4,None,Intel,,,"DDR5, DDR4",Alder Lake,Intel Core i3 12100F 3.3 GHz 4-Core LGA1700,11c8a8b2-048a-4492-ba06-f2b5c8c1de60,cpu_0070,,Intel Core i3,LGA 1700,58,8,
32,36,cpu,2,5.8,1.5,4.3,,,24,None,Intel,,,"DDR5, DDR4",Raptor Lake Refresh,Intel Core i9 14900F 2.0 GHz 24-Core LGA1700,1292d93d-417f-4ec6-b84f-21be2d85b2b2,cpu_0071,,Intel Core i9,LGA 1700,65,32,
6,64,cpu,3.8,4.7,,,,12,12,None,AMD,,,DDR4,Zen 2,AMD Ryzen 9 3900XT 3.8 GHz 12-Core AM4,129aed7c-71fc-4e26-8a7d-527d88eae596,cpu_0072,,AMD Ryzen 9,AM4,105,24,
1,6,cpu,4,4.2,,,,4,4,None,Intel,,,,Kaby Lake,Intel Core i5 7640X 4 GHz 4-Core LGA2066 OEM/Tray,12fd3597-2019-418e-9764-bdf55a541368,cpu_0073,,Intel Core i5,LGA 2066,112,4,
512,64,cpu,3,4.2,,,,32,32,None,AMD,4,,DDR4,Zen+,AMD Ryzen Threadripper 2990WX,1307646f-0cde-4600-9ea8-7208cc2376c9,cpu_0074,2018,,TR4,250,64,
4,16,cpu,2.5,5.2,,,,8,8,Intel UHD Graphics 750,Intel,,,,Rocket Lake,Intel Core i9 11900 2.5 GHz 8-Core LGA1200,137364af-2806-4177-9206-d209575ffea4,cpu_0075,,Intel Core i9,LGA 1200,65,16,
3,8,cpu,3.7,4.2,,,,6,6,AMD Radeon Vega 7,AMD,,,DDR4,Zen 2,AMD Ryzen 5 4600G 3.7 GHz 6-Core AM4,1380a6eb-8357-4ce2-be1c-190fa045a108,cpu_0076,,AMD Ryzen 5,AM4,65,12,
8,8,cpu,4,4.3,,,,8,8,None,AMD,,,,Piledriver,AMD FX FX FX-8370 4 GHz 8-Core AM3+,14edddda-4629-4c09-90ea-5c209827d82a,cpu_0077,,AMD FX,AM3+,125,8,
16,128,cpu,4.2,5.7,,,,16,16,AMD Radeon,AMD,,,DDR5,Zen 4,AMD EPYC 4584PX 4.2 GHz 16-Core AM5,15164378-8aa4-48d3-970d-c832589ac734,cpu_0078,,AMD EPYC,AM5,120,32,
4,16,cpu,3.5,5.3,,,,8,8,None,Intel,,,,Rocket Lake,Intel Core i9 11900KF 3.5 GHz 8-Core LGA1200,15abb515-0c8f-4cbc-af37-434908b5729a,cpu_0079,,Intel Core i9,LGA 1200,125,16,
1,8,cpu,4,4.2,,,,4,4,Intel HD Graphics 530,Intel,,,,Skylake,Intel Core i7 6700K 4 GHz 4-Core LGA1151,15af1312-b8a1-4790-bda1-06a408ffa51a,cpu_0080,,Intel Core i7,LGA 1151,91,8,
32,36,cpu,2,5.8,1.5,4.3,,,24,Intel UHD Graphics 770,Intel,,,"DDR5, DDR4",Raptor Lake Refresh,Intel Core i9 14900 2 GHz 24-Core LGA1700,163d1e0a-ea5a-45d7-8c43-eaff7e78107b,cpu_0081,,Intel Core i9,LGA 1700,65,32,
5,15,cpu,3.6,4,,,,6,6,None,Intel,,,,Broadwell,Intel Xeon E5 1650 V4 3.6 GHz 6-Core LGA2011-3,16825ced-154c-49f1-a40c-813737d8fb49,cpu_0082,,Intel Xeon E5,LGA 2011-3,140,12,
0.5,4,cpu,3.8,0,0,0,0,0,2,Intel UHD Graphics 630,Intel,2,,DDR4,Coffee Lake,Intel Pentium Gold G5500,16d02a32-8e90-44bf-8002-3a6cbbe6584b,cpu_0083,2018,,LGA 1151,54,4,
1,8,cpu,3.5,4.5,,,,4,4,None,Intel,,,,Coffee Lake,Intel Xeon E 2134 3.5 GHz 4-Core LGA1151,172b0f70-129e-473c-9bf8-88de1d2e229c,cpu_0084,,Intel Xeon E,LGA 1151,71,8,
3,30,cpu,2.7,3.5,,,,12,12,None,Intel,,,,Ivy Bridge,Intel Xeon E5-2697 V2 2.7 GHz 12-Core LGA2011,17b95d1d-e33c-41bd-b16c-f5281e4172b0,cpu_0085,,Intel Xeon E5,LGA 2011,130,24,
5,9,cpu,3,4.4,,,,6,6,None,Intel,,,,Coffee Lake Refresh,Intel Core i5 9500F 3 GHz 6-Core LGA1151,17d31bbf-994a-4a54-bfd8-0bfa5b2093ff,cpu_0086,,Intel Core i5,LGA 1151,65,6,
2,8,cpu,3.5,3.7,,,,4,4,None,AMD,,,DDR4,Zen,AMD Ryzen 3 1300X 3.5 GHz 4-Core AM4,182326d2-d7a5-495e-811c-2b6bcb28e029,cpu_0087,,AMD Ryzen 3,AM4,65,4,
4,0,cpu,3.9,4.1,,,,4,4,AMD Radeon R7 (on-die),AMD,,,,Steamroller,AMD A10 A10-7870K 3.9 GHz 4-Core FM2+,185f2bd4-60af-4761-8d6e-25fd909571dd,cpu_0088,,AMD A10,FM2+,95,4,
2,4,cpu,3.6,3.9,,,,4,4,AMD Radeon Vega 11,AMD,,,DDR4,Zen,AMD Ryzen 5 2400G 3.6 GHz 4-Core AM4 OEM/Tray,18a5a222-98ff-417a-9e2e-1dbecb75ae2a,cpu_0089,,AMD Ryzen 5,AM4,65,8,
1,8,cpu,2.9,3.9,,,,4,4,None,Intel,,,,Skylake,Intel Xeon E3 1260L V5 OEM/Tray 2.9 GHz 4-Core LGA1151,18f69196-6358-44bf-b485-7311d3035daa,cpu_0090,,Intel Xeon E3,LGA 1151,45,8,
,16.5,cpu,3.3,4.2,,,,,10,None,,4,,DDR4,Skylake-X,"Intel Core i9-9820X X-series Processor (16.5M Cache, up to 4.20 GHz)",1917223b-ee1e-4643-b0ef-e250bca0abf8,cpu_0091,2018,,LGA 2066,165,20,
2,20,cpu,3.2,3.7,,,,8,8,None,Intel,,,,Broadwell,Intel Core i7 6900K 3.2 GHz 8-Core OEM/Tray LGA2011-3,191c28ae-cac2-4752-bee1-b22e57c417af,cpu_0092,,Intel Core i7,LGA 2011-3,140,16,
1,8,cpu,2.7,3.9,,,,4,4,None,Intel,,,,Haswell Refresh,Intel Core i7 4790T 2.7 GHz 4-Core LGA1150 OEM/Tray,19670dac-d7e8-4c15-8caf-50764c3c6c40,cpu_0093,,Intel Core i7,LGA 1150,45,8,
7.5,18,cpu,2.5,4.4,,,,,6,,Intel,2,,"DDR5, DDR4",Alder Lake,Intel Core i5 12400F 2.5 GHz 6-Core LGA1700,19fbd8f2-a226-4b83-9e5d-683db638d337,cpu_0094,2022,Intel Core i5 12000,LGA 1700,65,12,12400F
1,8,cpu,3.7,4.1,,,,4,4,Intel HD Graphics P630,Intel,,,,Kaby Lake,Intel Xeon E3 1245 V6 3.7 GHz 4-Core LGA1151 OEM/Tray,1adb6d90-342a-4149-b3c8-a11d041bda48,cpu_0095,,Intel Xeon E3,LGA 1151,73,8,
10,75,cpu,3.3,4.5,,,,10,10,None,Intel,,,,Skylake,Intel Core i9 7900X 3.3 GHz 10-Core LGA2066 OEM/Tray,1b79e37a-7f91-49b9-9f77-9964b9049cfb,cpu_0096,,Intel Core i9,LGA 2066,140,20,
2,16,cpu,2.1,4.4,,,,8,8,Intel UHD Graphics 630,Intel,,,,Coffee Lake Refresh,Intel Core i9 9900T 2.1 GHz 8-Core LGA1151,1bdbeb35-0449-4d21-a297-213be55b1517,cpu_0097,,Intel Core i9,LGA 1151,35,16,
5,20,cpu,3.7,5.3,,,,10,10,None,Intel,,,,Comet Lake,Intel Core i9 10900KF 3.7 GHz 10-Core LGA1200,1bfc789d-fdf7-44d4-88d3-a5f1d5b2dc7c,cpu_0098,,Intel Core i9,LGA 1200,125,20,
2,0,cpu,3.8,4.2,,,,4,4,AMD Radeon R7 (on-die),AMD,,,DDR4,Excavator,AMD A-Series A12 9800 3.8 GHz 4-Core AM4,1c16dbfa-0c47-425b-ad18-e06972ca6ffc,cpu_0099,,AMD A12,AM4,65,4,
1,0,cpu,3.8,4,,,,2,2,AMD Radeon R5 (on-die),AMD,,,DDR4,Excavator,AMD A6 A6-9550 3.8 GHz 2-Core AM4,1c19203f-0572-4ed0-80b4-37d940f1d8c9,cpu_0100,,AMD A6,AM4,65,2,
